"PLANT_ID","LIB","ALIAS","VCF_NAME","ACC","NAT_PAPER_LIB","PLANTED_2018","COVERAGE_CATEGORY","COLLECTION_TYPE","COLLECTION_METHOD","TAXON","SOURCE_ID_1","SOURCE_ID_2","LIB_NOTES","COLL_DATE","LATITUDE","LONGITUDE","ELEVATION","NOTE_LATLONG","COUNTRY","STATE","COUNTY","LOCALITY","APPROX_COVERAGE","APPROX_BP_MAPPED","GOOD_PAIRED_READS","MINOR_LIB","MINOR_LIB_COV","MINOR_LIB_VCF_NAME","OLD_META_PLOIDY","PLD_SNP","NQUIRE_CDS_20","NQUIRE_FULL_20","NQUIRE_NSNPS_20","NQUIRE_PLOIDY","NQUIRE_CONFIDENCE","MINOR_LIB_NQUIRE_CDS_20","MNP_CDS_PLOIDY","MNP_GENIC_PLOIDY","OLD_TOT_PLOIDY","OLD_TOT_PLOIDY_CONFIDENCE","UNI_ACC","PPG_FILT_NOTE","PPG_NATIVE","PPG_CONTAMINANT"
"J456.A","IIKU",NA,"J456.A","J456","Y","Y","paper_732g","Natural Collection","Grown from GRIN Seed Packet In Austin","Panicum virgatum","Griff 17004","2009FL-042","NA",NA,30.9,-86.49361111,267,NA,"USA","Florida","Oklaoosa","Collected at site previously documented by NRCS, Brooksville Plant Material Center (collection number 9060492). 1 mile south on CR 85 from CR 2 on east side of road; 0.25 miles west on CR 2 from CR 85 on north side of road, Okaloosa County",37.82,42732751650,284885011,NA,NA,NA,"4X","4X","4X",NA,962015,"4X",1,NA,"4X","4X","4X",4,"GRIF_17004",NA,NA,NA
"J456.B","IIKW",NA,"J456.B","J456","Y","Y","paper_732g","Natural Collection","Grown from GRIN Seed Packet In Austin","Panicum virgatum","Griff 17004","2009FL-042","NA",NA,30.9,-86.49361111,267,NA,"USA","Florida","Oklaoosa","Collected at site previously documented by NRCS, Brooksville Plant Material Center (collection number 9060492). 1 mile south on CR 85 from CR 2 on east side of road; 0.25 miles west on CR 2 from CR 85 on north side of road, Okaloosa County",40.47,45727565850,304850439,NA,NA,NA,"4X","4X","4X",NA,1099652,"4X",1,NA,"4X","4X","4X",4,"GRIF_17004",NA,NA,NA
"J456.C","IIKX",NA,"J456.C","J456","Y","Y","paper_732g","Natural Collection","Grown from GRIN Seed Packet In Austin","Panicum virgatum","Griff 17004","2009FL-042","NA",NA,30.9,-86.49361111,267,NA,"USA","Florida","Oklaoosa","Collected at site previously documented by NRCS, Brooksville Plant Material Center (collection number 9060492). 1 mile south on CR 85 from CR 2 on east side of road; 0.25 miles west on CR 2 from CR 85 on north side of road, Okaloosa County",39.07,44147402400,294316016,NA,NA,NA,"4X","4X","4X",NA,1172154,"4X",1,NA,"4X","4X","4X",4,"GRIF_17004",NA,NA,NA
"J458.A","IIKY",NA,"J458.A","J458","Y","Y","paper_732g","Natural Collection","Grown from GRIN Seed Packet In Austin","Panicum virgatum","Griff 17007","2009FL-045","NA",NA,30.87,-86.92861111,32,NA,"USA","Florida","Santa Rosa","Collected at site previously documented by Natural Resources Conservation Service, Brooksville Plant Material Center (collection number 9060495). 3.5 miles west on CR 4 from CR 191 on south side of road, Santa Rosa County",37.11,41927341500,279515610,NA,NA,NA,"4X","4X","4X",NA,1155289,"4X",1,NA,"4X","4X","4X",4,"GRIF_17007",NA,NA,NA
"J458.B","IIKZ",NA,"J458.B","J458","Y","Y","paper_732g","Natural Collection","Grown from GRIN Seed Packet In Austin","Panicum virgatum","Griff 17007","2009FL-045","NA",NA,30.87,-86.92861111,32,NA,"USA","Florida","Santa Rosa","Collected at site previously documented by Natural Resources Conservation Service, Brooksville Plant Material Center (collection number 9060495). 3.5 miles west on CR 4 from CR 191 on south side of road, Santa Rosa County",33.21,37518613050,250124087,NA,NA,NA,"4X","4X","4X",NA,1132337,"4X",1,NA,"4X","4X","4X",4,"GRIF_17007",NA,NA,NA
"J460.A","IILA",NA,"J460.A","J460","Y","Y","paper_732g","Natural Collection","Grown from GRIN Seed Packet In Austin","Panicum virgatum","Griff 17504","SE2013-008","NA","9/15/13",30.72575,-88.73723,10,NA,"USA","Mississippi","Jackson","On both sides of Highway 57, Vancleave, MS",32.38,36582451650,243883011,NA,NA,NA,"4X","4X","4X",NA,1103942,"4X",1,NA,"4X","4X","4X",4,"GRIF_17504",NA,NA,NA
"J460.B","IILB",NA,"J460.B","J460","Y","Y","paper_732g","Natural Collection","Grown from GRIN Seed Packet In Austin","Panicum virgatum","Griff 17504","SE2013-008","NA","9/15/13",30.72575,-88.73723,10,NA,"USA","Mississippi","Jackson","On both sides of Highway 57, Vancleave, MS",36.73,41498441700,276656278,NA,NA,NA,"4X","4X","4X",NA,1101726,"4X",1,NA,"4X","4X","4X",4,"GRIF_17504",NA,NA,NA
"J461.A","IILD",NA,"J461.A","J461","Y","Y","paper_732g","Natural Collection","Grown from GRIN Seed Packet In Austin","Panicum virgatum","Griff 17505","SE2013-009","NA","9/15/13",30.29881,-89.40688,6,NA,"USA","Mississippi","Hancock","In the vicinity of 4146 US Hwy. 90, Bay St. Louis, MS west side of road",31.24,35294392800,235295952,NA,NA,NA,"4X","4X","4X",NA,1100790,"4X",1,NA,"4X","4X","4X",4,"GRIF_17505",NA,NA,NA
"J464.B","IILE",NA,"J464.B","J464","Y","Y","paper_732g","Natural Collection","Grown from GRIN Seed Packet In Austin","Panicum virgatum","Griff 17517","SE2013-020","NA","9/17/13",29.71589,-94.63221,9,NA,"USA","Texas","Chambers","Chambers County. In the vicinity of 5003 Highway 562, Anahuac, TX",34.3,38753621700,258357478,NA,NA,NA,"4X","4X","4X",NA,1142653,"4X",1,NA,"4X","4X","4X",4,"GRIF_17517","Split ACC; clusters withing LA ACC J465, and is unusually close to J465.A and J465.B; seems like a sample switch, maybe the name got changed by accident","F","M"
"J465.A","IILF",NA,"J465.A","J465","Y","Y","paper_732g","Natural Collection","Grown from GRIN Seed Packet In Austin","Panicum virgatum","Griff 17521","SE2013-024","NA","9/18/13",30.84472,-93.56707,27,NA,"USA","Louisiana","Beauregard","Boat ramp near 100 Palmer Lake Road, Merryville, LA",25.37,28663912500,191092750,NA,NA,NA,"4X","4X","4X",NA,1011382,"4X",1,NA,"4X","4X","4X",4,"GRIF_17521",NA,NA,NA
